National,Province,District,Facility Name,Facility code
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Pashu Clinic,ZW050125
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Phumula Mission Hospital,ZW05060C
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Prison Vic Falls,ZW050308
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Pvt Unicem Clinic,ZW050753
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Raafs Rural Health Centre,ZW050203
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Redwood Clinic,ZW050728
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Safari Lodge Clinic,ZW050363
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Samahuru Mission Clinc,
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Sebhumane Clinic,ZW050527
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Sesemba Clinic,ZW050534
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,shaba Clinc,ZW050634
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Siabuwa Rural Hospital,ZW05010B
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Siabuzuba Satelite Rural Health Centre,ZW050109
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Siadindi Rural Health Centre,ZW050108
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Siansundu Rural Health Centre,ZW050105
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Sidinda Rural Health Center,ZW050329
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Siganda Clinic,ZW050226
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Sikente Clinic,ZW050635
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Sikhobokhobo Clinic,ZW050528
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Simangane Clinic,ZW050333
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Simatelele Rural Health Centre,ZW050107
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Sinakoma Clinic,ZW050127
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Sinansengwe Clinic,ZW050128
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Siphepha Rural Hospital,ZW05060B
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Sivalo Rural Health Centre,ZW050505
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Sodaka Rural Health Centre,ZW050606
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Songwa RHC,
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,St James Mission Clinic,ZW050791
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,St Luke's Mission Hospital,ZW05040B
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,St Patricks Mission Hospital,ZW05030C
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,St Paul's Mission Hospital,ZW05040A
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,TG Silundika Clinic,ZW050781
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,Tinde Clinic,ZW050126
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Tshefunye Clinic,ZW0506035
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Tsholotsho District Hospital,ZW05060A
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,Tsholotsho Urban Clinic,ZW050631
Zimbabwe Ministry of Health,Matabeleland North ,Bubi ,Turk Mine Clinic,ZW050257
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Umguza Council Clinic,ZW050701
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,Umuntu Clinic,ZW050798
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Victoria Falls District Hospital,ZW05030A
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Wellness Clinic,ZW050393
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Zenka Rural Health Centre,ZW050506
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Zesa Chibondo Clinic,ZW050359
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,Zesa Dressing Station Clinic,ZW050358
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,ZESA Ingagula Clinic,ZW050360
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,Zinyangeni Clinic,ZW050529
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZNA Braddy BarracksClinic,ZW050710
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZNA Imbizo Camp Hospital,ZW050765
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZNA Induna Clinic,ZW050797
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Anju Rural Health Centre,ZW050711
Zimbabwe Ministry of Health,Matabeleland North ,Binga ,ZPS Binga Prison Clinic,ZW050110
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Bulawayo Prison Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,ZPS Hwange Prison Clinic,ZW050309
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Khami Max Prison Hospital,ZW050723
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Khami Medium Prison Clinic,ZW050724
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Khami Prison Staff Hospital,ZW050799
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Khami Remand Prison Clinic,ZW050722
Zimbabwe Ministry of Health,Matabeleland North ,Lupane ,ZPS Lupane Prison Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Mlondolozi Prison Clinic,ZW050725
Zimbabwe Ministry of Health,Matabeleland North ,Nkayi ,ZPS Nkayi Prison Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZPS Ntabazinduna Prison Clinic,ZW050785
Zimbabwe Ministry of Health,Matabeleland North ,Tsholotsho ,ZPS Tsholotsho Prison Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,ZPS Victoria Falls Prison Clinic,
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZRP Fairbridge Rural Health Centre,ZW050752
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,ZRP Hwange,ZW050307
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZRP Ntabazinduna Rural Health Centre,ZW050788
Zimbabwe Ministry of Health,Matabeleland North ,Umguza ,ZRP Rosecamp Clinic,ZW050720
Zimbabwe Ministry of Health,Matabeleland North ,Hwange ,ZRP Victoria Falls,ZW050306
Zimbabwe Ministry of Health,Midlands ,Mberengwa ,ne Outreach,
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Avoca Rural Hospital,ZW06040C
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Bango Rural Health Centre,ZW060709
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Bazha Mission Clinic,ZW060592
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Beitbridge District Hospital,ZW06010A
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Beitbridge NRZ Clinic,ZW060181
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Beitbridge ZRP Clinic,ZW060108
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Beula-seula Rural Health Centre,ZW060504
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Bezu Clinic,ZW060234
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Blanket Clinic,ZW060376
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Buvuma Clinic,ZW060325
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Chamnangana Clinic,ZW060177
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Chaswingo Clinic,ZW060125
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Chikwalakwala Rural Health Centre,ZW060101
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Chitulipasi Rural Health Centre,ZW060102
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Colleen-bawn Clinic,ZW060377
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Cyrene Mission Clinic,ZW060594
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Dingumuzi Clinic,ZW060745
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Dite Rural Health Centre,ZW060103
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Dombodema Clinic,ZW060225
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Dulibadzimu Clinic,ZW060126
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Ekukhanyeni Clinic,ZW06O5O5
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Embakwe Mission Hospital,ZW06070E
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Empandeni Mission Clinic,ZW060792
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Esibomvu Clinic,ZW060625
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Esigodini District Hospital,ZW06060A
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Filabusi District Hospital,ZW06040A
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Garanyemba Clinic,ZW060364
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Gulati Rural Health Center,ZW060581
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Gungwe RHC,ZW060301
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Gwanda Provincial Hospital,ZW06030A
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Gwanda ZNFPC Clinic,ZW060309
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Gwanda ZRP Clinic,ZW060307
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Gwatemba Rural Health Centre,ZW060402
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Habane Clinic,ZW060626
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Hingwe Rural Health Centre,ZW060220
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Homestead Rural Health Centre,ZW060503
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,How Mine Clinic,ZW060676
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Huwana Clinic,ZW060202
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Ingwizi Rural Health Centre,ZW060703
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Insiza Rural Health Centre,ZW060403
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Irrisvale RHC,ZW060604
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Jessie Clinic,ZW060379
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,JM Polytech Clinic,ZW060383
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Kafusi Clinic,ZW060326
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Kezi Rural Hospital,ZW0605OB
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Kombo Health Post,ZW060428
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Kumbudzi RHC,ZW060601
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Lady Barring Rural Hospital,ZW06020B
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Lady Stanley Rural Hospital,ZW06020C
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Lushongwe Clinic,ZW060333
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Mabuze Rural Health Centre,ZW060404
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Madabe Clinic,ZW060727
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Madlambudzi Clinic,ZW060228
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Majini Rural Health Centre,ZW060104
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Makakabule Clinic,ZW060176
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Makhulela Rural Health Centre,ZW060204
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Makombe Clinic,ZW060178
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Makwe RHC,ZW060302
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Mambale Clinic,ZW060729
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Manama Mission Hospital,ZW06030B
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Maninji Clinic,ZW060734
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Mapate Clinic,ZW060366
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Maphisa District Hospital,ZW06050A
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Marula Clinic,ZW060705
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Masendu Clinic,ZW060235
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Masera Clinic,ZW060127
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Mashaba Clinic,ZW060327
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Masiye Clinic,ZW060593
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Matjinge Rural Health Centre,ZW060206
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Matopo Mission Clinic,ZW060591
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Matopo Rural Hospital,ZW06050C
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Mawabeni Clinic,ZW060627
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Mayobodo Rural Health Centre,ZW060707
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Mbembeswane Clinic,ZW060525
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Mbizingwe RHC,ZW060602
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Mhlahlandlela Clinic,ZW060628
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Mpisini RHC,ZW060605
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Mtetengwe Clinic,
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Mtshabezi Mission Hospital,ZW06030C
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Mzimuni Clinic,ZW060328
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Mzingwane RHC,ZW060606
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Natisa Rural Health Centre,ZW060501
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Ndiweni Clinic,ZW060230
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Nhlangano Clinic,ZW060629
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Nhwali RHC,ZW060303
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Nkankezi Rural Health Centre,ZW060405
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Nottingham Rural Health Centre,ZW060109
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Nswazi Clinic,ZW060630
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Nswazwi Rural Health Centre,ZW060208
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Ntalale Clinic,ZW060329
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Ntshamathe Clinic,ZW060631
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Nyamime Rural Health Centre,ZW060406
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Phakama Clinic,ZW060362
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Plumtree District Hospital,ZW06070A
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Sanale Rural Health Centre,ZW060407
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Sankonjane Rural Health Centre,ZW060502
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Sanzukwi Clinic,ZW060733
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Saphila RDC,
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Selonga Clinic,ZW060363
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Sengezane Clinic,ZW060330
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Shabwe Rural Health Centre,ZW060106
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Shangani Clinic,ZW060477
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Shangani Rural Hospital,ZW06040B
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Shashe Clinic,ZW060129
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Sikhathini Clinic,ZW060231
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Silikwe Clinic,ZW060368
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Simbumbumbu RHC,ZW060305
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Singwambizi Clinic,ZW060427
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Singwango Clinic,ZW060425
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Sitezi Clinic,ZW060367
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Solusi Mission Clinic,ZW060291
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,St Annes Mission Hospital (Brunapeg),ZW06070D
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,St Joseph's Mission Hospital,ZW0605OE
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Stanmore RHC,ZW060306
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Swereki Clinic,ZW060128
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Tokwana Clinic,ZW060236
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Tongwe Clinic,ZW060130
Zimbabwe Ministry of Health,Matabeleland South ,Matobo ,Tshelanyemba Mission Hospital,ZW0605OD
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,Tshitshi Clinic,ZW060732
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Umzingwane ZNA Clinic,ZW060603
Zimbabwe Ministry of Health,Matabeleland South ,Bulilima ,Village 13 Rural Health Centre,ZW060201
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,Vumbachikwe Clinic,ZW060380
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Wanezi Mission Hospital,ZW06040D
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,West Nicholson Clinic,ZW060308
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,Zezani Clinic,ZW060131
Zimbabwe Ministry of Health,Matabeleland South ,Insiza ,Zhulube Clinic,ZW060426
Zimbabwe Ministry of Health,Matabeleland South ,Umzingwane ,Zimbili clinic,
Zimbabwe Ministry of Health,Matabeleland South ,Beitbridge ,ZPS Beitbridge Prison Clinic,ZW060105
Zimbabwe Ministry of Health,Matabeleland South ,Gwanda ,ZPS Gwanda Prison Clinic,ZW060304
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,ZPS Plumtree Prison Clinic,ZW060793
Zimbabwe Ministry of Health,Matabeleland South ,Mangwe ,ZRP Plumtree Clinic,ZW060794
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,41st Brigade Clinic,ZW080509
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Alvord Rural Health Centre,ZW080501
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Bere Clinic,ZW080530
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Berejena Mission Hospital,ZW080340
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Bikita Epi Mobile,ZW080120
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Bikita Minerals Clinic,ZW080176
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Bikita Rural Hospital,ZW08010A
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Bondolfi Clinic,ZW080591
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Bota Clinic,ZW080725
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,Boterere Clinic,ZW080631
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Bvukururu Clinic,ZW080726
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chambuta Clinic,ZW080201
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Charumbira Clinic,ZW080525
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Chatikobo Clinic,ZW080526
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Chepiri Clinic,ZW080436
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Cheshuro Clinic,ZW080425
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chibvedziva Clinic,ZW080225
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chifedza Clinic,ZW080320
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chigwikwi Rural Health Centre,ZW080301
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chikombedzi Mission Hospital,ZW08020B
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Chikuku Rural Hospital,ZW08010B
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chilonga Rural Health Centre,ZW080202
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,Chimbudzi Rural Health Centre,ZW080601
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Chimombe Rural Hospital,ZW08040B
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chingele Clinic,ZW080292
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,Chingwizi Clinic,
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Chinyabako Clinic,ZW080727
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Chinyika Rural Hospital,ZW08040D
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Chipinda Rural Health Centre,ZW080701
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Chipiri Clinic,
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chipiwa Clinic,ZW080226
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Chiredzana Clinic,ZW080729
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chiredzi District Hospital,ZW08020A
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chiredzi NRZ Clinic,ZW080285
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chiredzi ZRP Clinic,ZW080218
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chiredzi ZSA Clinic,ZW080284
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,Chirindi Rural Health Centre,ZW080602
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chirogwe Clinic,ZW080321
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Chirorwe Rural Health Centre,ZW080101
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Chitando Rural Health Centre,ZW080408
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Chitasa Clinic,ZW080125
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chitsa Clinic,ZW080232
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chivi District Hospital,ZW08030A
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chivi Mission Clinic,ZW080341
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Chivi Rural Hospital,ZW08030B
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Chiwore Rural Health Centre,ZW080434
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,Chizumba Rural Health Centre,ZW080603
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chizvirizvi Rural Health Centre,ZW080204
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Chompani Clinic,ZW080235
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Damarakanaka Clinic,ZW080291
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Dambara Clinic,ZW080437
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Davata Rural Health Centre,ZW080205
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Davira Clinic,ZW080302
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Denhere Clinic,ZW080426
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Dewure Clinic,ZW080427
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Dewure I Rural Health Centre,ZW080102
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Dewure II Rural Health Centre,ZW080103
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Dumisa Clinic,ZW080228
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Faversham Clinic,ZW080211
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Fube Clinic,ZW080730
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,G and N Clinic,ZW080683
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Gangare Rural Health Centre,ZW080134
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Gaths Mine Hospital,ZW08050F
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Gava Rural Health Centre,ZW080135
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Gezani Rural Health Centre,ZW080206
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Gokomere Mission Clinic,ZW08050E
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Gororo Clinic,ZW080334
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Great Zimbabwe University Clinic,
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Great Zimbabwe University Mashava Campus,ZW080616
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Gundura Clinic,ZW080527
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Guni Clinic,ZW08040F
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Gurajena Rural Health Centre,ZW080541
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Gutu Mission Hospital,ZW08040E
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Gutu Population Health Clinic,
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Gutu Rural Hospital,ZW08040A
Zimbabwe Ministry of Health,Masvingo ,Masvingo ,Guwa Rural Health Centre,ZW080540
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Harava Rural Health Centre,ZW080702
Zimbabwe Ministry of Health,Masvingo ,Chiredzi ,Hippo Valley Private Hospital,ZW08020C
Zimbabwe Ministry of Health,Masvingo ,Bikita ,Hozvi Clinic,ZW080126
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Jerera Satellite Clinic,ZW080739
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Jichidza Council Clinic,ZW080732
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Jichidza Mission Clinic,ZW080791
Zimbabwe Ministry of Health,Masvingo ,Mwenezi ,Lundi Clinic,ZW080692
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Madamombe Clinic,ZW080322
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Madhloro Clinic,
Zimbabwe Ministry of Health,Masvingo ,Chivi ,Madzivadondo Clinic,ZW080319
Zimbabwe Ministry of Health,Masvingo ,Zaka ,Mageza Clinic,ZW080740
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Magombedze Chitsa Clinic,ZW080435
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Magombedze Clinic,ZW080428
Zimbabwe Ministry of Health,Masvingo ,Gutu ,Majada Rural Health Centre,ZW080402
